english_sentence,hindi_sentence
Alpinia.,अल्पीनिया।
Alpinia Galanga.,अल्पीनिया गैलंगा।
Alpinia Galanga is.,अल्पीनिया गैलांगा है।
Alpinia Galanga is an.,अल्पीनिया गैलांगा एक है।
Alpinia Galanga is an herbaceous.,अल्पीनिया गैलंगा एक जड़ी-बूटियों है।
Alpinia Galanga is an herbaceous plant.,अल्पीनिया गैलांगा एक जड़ी बूटी का पौधा है।
It.,यह।
can.,कर सकते हैं।
grow.,बढ़ना।
up.,यूपी।
to.,प्रति।
3.5.,३.५।
centimeters.,सेंटीमीटर।
with.,साथ।
thick.,मोटा।
underground.,भूमिगत।
rhizomes.,प्रकन्द।
It.,यह।
It can.,यह।
It can grow.,यह बढ़ सकता है।
It can grow up.,यह बड़ा हो सकता है।
It can grow up to.,यह बड़ा हो सकता है।
It can grow up to 3.5.,यह ३.५ तक बढ़ सकता है।
It can grow up to 3.5 centimeters.,यह ३.५ सेंटीमीटर तक बढ़ सकता है।
It can grow up to 3.5 centimeters with.,यह ३.५ सेंटीमीटर तक बढ़ सकता है।
It can grow up to 3.5 centimeters with thick.,यह मोटी के साथ ३.५ सेंटीमीटर तक बढ़ सकता है।
It can grow up to 3.5 centimeters with thick underground.,यह मोटी भूमिगत के साथ ३.५ सेंटीमीटर तक बढ़ सकता है।
It can grow up to 3.5 centimeters with thick underground rhizomes.,यह मोटी भूमिगत प्रकन्द के साथ ३.५ सेंटीमीटर तक बढ़ सकता है।
The.,।
rhizomes.,प्रकन्द।
have.,पास होना।
a.,ए।
red.,लाल।
and.,तथा।
brown.,भूरा।
color.,रंग।
on.,पर।
the.,।
surface.,सतह।
The.,।
The rhizomes.,प्रकन्द।
The rhizomes have.,प्रकन्द है।
The rhizomes have a.,प्रकन्द एक है।
The rhizomes have a red.,प्रकन्द एक लाल है।
The rhizomes have a red and.,प्रकन्द एक लाल है और।
The rhizomes have a red and brown.,प्रकन्द एक लाल और भूरा है।
The rhizomes have a red and brown color.,प्रकन्द एक लाल और भूरा रंग है।
The rhizomes have a red and brown color on.,प्रकन्द एक लाल और भूरा रंग है।
The rhizomes have a red and brown color on the.,प्रकन्द के पास एक लाल और भूरा रंग है।
The rhizomes have a red and brown color on the surface.,प्रकन्द सतह पर एक लाल और भूरा रंग है।
The.,।
inside.,अंदर।
of.,का।
the.,।
rhizome.,प्रकन्द।
is.,है।
brown.,भूरा।
and.,तथा।
orange.,संतरा।
in.,में।
color.,रंग।
The.,।
The inside.,अंदर का।
The inside of.,के अंदर।
The inside of the.,के अंदर।
The inside of the rhizome.,राइज़ोम के अंदर।
The inside of the rhizome is.,राइज़ोम के अंदर है।
The inside of the rhizome is brown.,राइज़ोम के अंदर भूरा है।
The inside of the rhizome is brown and.,राइज़ोम के अंदर भूरा और है।
The inside of the rhizome is brown and orange.,राइज़ोम के अंदर भूरा और नारंगी है।
The inside of the rhizome is brown and orange in.,राइज़ोम के अंदर भूरा और नारंगी है।
The inside of the rhizome is brown and orange in color.,राइज़ोम के अंदर रंग में भूरा और नारंगी है।
The.,।
plant.,पौधा।
is.,है।
erect.,खड़ा करना।
and.,तथा।
covered.,ढका हुआ।
with.,साथ।
leaves.,पत्ते।
The.,।
The plant.,पौधा।
The plant is.,पौधा है।
The plant is erect.,संयंत्र खड़ा है।
The plant is erect and.,पौधे खड़ा है और।
The plant is erect and covered.,संयंत्र खड़ा और कवर किया गया है।
The plant is erect and covered with.,पौधे खड़ा और साथ कवर किया गया है।
The plant is erect and covered with leaves.,पौधा खड़ा होता है और पत्तियों से ढका होता है।
The.,।
leaves.,पत्ते।
are.,हैं।
smooth.,निर्बाध।
and.,तथा।
acute.,तीव्र।
The.,।
The leaves.,पत्तियां।
The leaves are.,पत्तियां हैं।
The leaves are smooth.,पत्तियां चिकनी होती हैं।
The leaves are smooth and.,पत्तियां चिकनी हैं और।
The leaves are smooth and acute.,पत्तियां चिकनी और तीव्र हैं।
The.,।
size.,आकार।
and.,तथा।
shape.,आकार।
of.,का।
the.,।
leaves.,पत्ते।
are.,हैं।
3.8.,३.८।
to.,प्रति।
11.5.,११.५।
centimeters.,सेंटीमीटर।
The.,।
The size.,आकार।
The size and.,आकार और।
The size and shape.,आकार और आकार।
The size and shape of.,का आकार और आकार।
The size and shape of the.,का आकार और आकार।
The size and shape of the leaves.,पत्तियों का आकार और आकार।
The size and shape of the leaves are.,पत्तियों का आकार और आकार है।
The size and shape of the leaves are 3.8.,पत्तियों का आकार और आकार ३.८ है।
The size and shape of the leaves are 3.8 to.,पत्तियों का आकार और आकार ३.८ है।
The size and shape of the leaves are 3.8 to 11.5.,पत्तियों का आकार और आकार ३.८ से ११.५ है।
The size and shape of the leaves are 3.8 to 11.5 centimeters.,पत्तियों का आकार और आकार ३.८ से ११.५ सेंटीमीटर है।
Flowers.,फूल।
have.,पास होना।
a.,ए।
pleasant.,सुखद।
smell.,गंध।
and.,तथा।
have.,पास होना।
white.,गोरा।
buds.,कलियों।
Flowers.,फूल।
Flowers have.,फूल हैं।
Flowers have a.,फूलों में ए।
Flowers have a pleasant.,फूलों को एक सुखद है।
Flowers have a pleasant smell.,फूलों की एक सुखद गंध होती है।
Flowers have a pleasant smell and.,फूलों की एक सुखद गंध होती है और।
Flowers have a pleasant smell and have.,फूलों की एक सुखद गंध होती है और है।
Flowers have a pleasant smell and have white.,फूलों में एक सुखद गंध होती है और सफेद होती है।
Flowers have a pleasant smell and have white buds.,फूलों में एक सुखद गंध होती है और सफेद कलियां होती हैं।
The.,।
flowers.,फूल।
are.,हैं।
greenish-white.,हरा-सफेद।
in.,में।
color.,रंग।
with.,साथ।
a.,ए।
dark-red.,गहरा लाल।
veined.,वेंएड।
tip.,टिप।
The.,।
The flowers.,फूल।
The flowers are.,फूल हैं।
The flowers are greenish-white.,फूल हरे-सफेद होते हैं।
The flowers are greenish-white in.,फूल हरे-सफेद होते हैं।
The flowers are greenish-white in color.,फूल रंग में हरे-सफेद होते हैं।
The flowers are greenish-white in color with.,फूलों के साथ रंग में हरे-सफेद होते हैं।
The flowers are greenish-white in color with a.,फूल एक के साथ रंग में हरे रंग के सफेद होते हैं।
The flowers are greenish-white in color with a dark-red.,फूल एक गहरे लाल रंग के साथ रंग में हरे रंग के सफेद होते हैं।
The flowers are greenish-white in color with a dark-red veined.,फूल एक गहरे लाल रंग के साथ रंग में हरे रंग के सफेद होते हैं।
The flowers are greenish-white in color with a dark-red veined tip.,एक अंधेरे-लाल वेंएड टिप के साथ फूल हरे-सफेद रंग में हैं।
The.,।
flowers.,फूल।
also.,भी।
produce.,उत्पाद।
red.,लाल।
berries.,जामुन।
The.,।
The flowers.,फूल।
The flowers also.,फूल भी।
The flowers also produce.,फूल भी पैदा करते हैं।
The flowers also produce red.,फूल भी लाल पैदा करते हैं।
The flowers also produce red berries.,फूल लाल जामुन भी पैदा करते हैं।
The.,।
fruit.,फल।
is.,है।
oval.,अंडाकार।
in.,में।
shape.,आकार।
and.,तथा।
is.,है।
colored.,रंगीन।
orange.,संतरा।
to.,प्रति।
red.,लाल।
The.,।
The fruit.,फल।
The fruit is.,फल है।
The fruit is oval.,फल अंडाकार है।
The fruit is oval in.,फल अंडाकार है।
The fruit is oval in shape.,फल आकार में अंडाकार है।
The fruit is oval in shape and.,फल आकार में अंडाकार है और।
The fruit is oval in shape and is.,फल आकार में अंडाकार है और है।
The fruit is oval in shape and is colored.,फल आकार में अंडाकार है और रंगीन है।
The fruit is oval in shape and is colored orange.,फल आकार में अंडाकार है और रंग नारंगी है।
The fruit is oval in shape and is colored orange to.,फल आकार में अंडाकार है और रंगीन नारंगी है।
The fruit is oval in shape and is colored orange to red.,फल आकार में अंडाकार होता है और लाल रंग के नारंगी रंग होता है।
The.,।
fruits.,फल।
have.,पास होना।
a.,ए।
diameter.,व्यास।
of.,का।
1.5.,१.५।
centimeters.,सेंटीमीटर।
The.,।
The fruits.,फल।
The fruits have.,फलों के पास है।
The fruits have a.,फलों में एक है।
The fruits have a diameter.,फलों का व्यास होता है।
The fruits have a diameter of.,फलों का व्यास होता है।
The fruits have a diameter of 1.5.,फलों का व्यास १.५ है।
The fruits have a diameter of 1.5 centimeters.,फलों में १.५ सेंटीमीटर का व्यास होता है।
The.,।
leaves.,पत्ते।
are.,हैं।
best.,श्रेष्ठ।
suited.,उपयुक्त।
in.,में।
cooking.,खाना बनाना।
The.,।
The leaves.,पत्तियां।
The leaves are.,पत्तियां हैं।
The leaves are best.,पत्तियां सबसे अच्छी हैं।
The leaves are best suited.,पत्तियां सबसे उपयुक्त हैं।
The leaves are best suited in.,पत्तियां सबसे उपयुक्त हैं।
The leaves are best suited in cooking.,पत्ते खाना पकाने में सबसे उपयुक्त हैं।
In.,में।
"boiling,.",उबलते हुए।
sauteing.,सॉसिंग।
and.,तथा।
steaming.,भाप।
In.,में।
"In boiling,.",उबलते हुए।
"In boiling, sauteing.","उबलते हुए, सॉसिंग में।"
"In boiling, sauteing and.","उबलते हुए, सॉसिंग और।"
"In boiling, sauteing and steaming.","उबलते हुए, सॉसिंग और स्टीमिंग में।"
To.,प्रति।
impart.,प्रदान करना।
flavor.,स्वाद।
to.,प्रति।
"soups,.","सूप,"
"stews,.","स्ट्यूज,।"
curries.,करी।
and.,तथा।
chutneys.,चटनी।
To.,प्रति।
To impart.,प्रदान करने के लिए।
To impart flavor.,स्वाद देने के लिए।
To impart flavor to.,स्वाद देने के लिए।
"To impart flavor to soups,.","सूप के लिए स्वाद प्रदान करने के लिए,।"
"To impart flavor to soups, stews,.","सूप, स्टूज के लिए स्वाद प्रदान करने के लिए।"
"To impart flavor to soups, stews, curries.","सूप, स्टू, करी को स्वाद देने के लिए।"
"To impart flavor to soups, stews, curries and.","सूप, स्टू, करी और स्वाद के लिए स्वाद प्रदान करने के लिए।"
"To impart flavor to soups, stews, curries and chutneys.","सूप, स्टू, करी और चटनी को स्वाद देने के लिए।"
The.,।
flavors.,स्वाद।
of.,का।
the.,।
leaf.,पत्ता।
compliments.,तारीफ
"meats,.","मीट,।"
fish.,मछली।
and.,तथा।
shellfish.,शैल्फ़िश।
The.,।
The flavors.,स्वाद।
The flavors of.,के स्वाद।
The flavors of the.,के स्वाद।
The flavors of the leaf.,पत्ती के स्वाद।
The flavors of the leaf compliments.,पत्ती की प्रशंसा।
"The flavors of the leaf compliments meats,.",पत्ती के स्वाद मीट की तारीफ करते हैं।
"The flavors of the leaf compliments meats, fish.","पत्ती के स्वाद मांस, मछली की प्रशंसा करता है।"
"The flavors of the leaf compliments meats, fish and.","पत्ती के स्वाद मांस, मछली और प्रशंसा करते हैं।"
"The flavors of the leaf compliments meats, fish and shellfish.","पत्ती के स्वाद मांस, मछली और शेलफिश की प्रशंसा करते हैं।"
It.,यह।
pairs.,जोड़े।
well.,अच्छी तरह से।
with.,साथ।
"citrus,.","साइट्रस,"
garlic.,लहसुन।
and.,तथा।
tamarind.,इमली।
It.,यह।
It pairs.,यह जोड़े।
It pairs well.,यह अच्छी तरह से जोड़े।
It pairs well with.,इसके साथ अच्छी तरह से जोड़े।
"It pairs well with citrus,.",यह साइट्रस के साथ अच्छी तरह से जोड़े।
"It pairs well with citrus, garlic.","यह साइट्रस, लहसुन के साथ अच्छी तरह से जोड़े।"
"It pairs well with citrus, garlic and.","यह साइट्रस, लहसुन और के साथ अच्छी तरह से जोड़े।"
"It pairs well with citrus, garlic and tamarind.","यह साइट्रस, लहसुन और चिमनी के साथ अच्छी तरह से जोड़े।"
It.,यह।
opens.,खुलती।
blocked.,अवरुद्ध।
sweat.,पसीना।
pores.,छिद्र।
in.,में।
the.,।
body.,तन।
It.,यह।
It opens.,यह खोलता है।
It opens blocked.,यह अवरुद्ध खुलता है।
It opens blocked sweat.,यह अवरुद्ध पसीना खुलता है।
It opens blocked sweat pores.,यह अवरुद्ध पसीने के छिद्रों को खुलता है।
It opens blocked sweat pores in.,यह अवरुद्ध पसीना छिद्रों को खोलता है।
It opens blocked sweat pores in the.,यह अवरुद्ध पसीना छिद्रों को खोलता है।
It opens blocked sweat pores in the body.,यह शरीर में अवरुद्ध पसीने के छिद्रों को खोलता है।
It.,यह।
neutralized.,बेअसर करना।
the.,।
harmful.,नुकसान पहुचने वाला।
effects.,प्रभाव।
in.,में।
the.,।
gut.,आंत
It.,यह।
It neutralized.,यह तटस्थ है।
It neutralized the.,यह बेअसर किया।
It neutralized the harmful.,यह हानिकारक को बेअसर कर दिया।
It neutralized the harmful effects.,यह हानिकारक प्रभावों को बेअसर कर दिया।
It neutralized the harmful effects in.,इसने हानिकारक प्रभावों को बेअसर कर दिया।
It neutralized the harmful effects in the.,इसने हानिकारक प्रभावों को बेअसर कर दिया।
It neutralized the harmful effects in the gut.,यह आंत में हानिकारक प्रभावों को बेअसर कर दिया।
It.,यह।
stimulates.,उत्तेजित करता है।
digestion.,पाचन।
and.,तथा।
also.,भी।
helps.,मदद करता है।
to.,प्रति।
treat.,इलाज।
sore.,पीड़ादायक।
mouths.,मुंह।
It.,यह।
It stimulates.,यह उत्तेजित करता है।
It stimulates digestion.,यह पाचन को उत्तेजित करता है।
It stimulates digestion and.,यह पाचन को उत्तेजित करता है और।
It stimulates digestion and also.,यह पाचन और भी उत्तेजित करता है।
It stimulates digestion and also helps.,यह पाचन को उत्तेजित करता है और भी मदद करता है।
It stimulates digestion and also helps to.,यह पाचन को उत्तेजित करता है और यह भी मदद करता है।
It stimulates digestion and also helps to treat.,यह पाचन को उत्तेजित करता है और इलाज में भी मदद करता है।
It stimulates digestion and also helps to treat sore.,यह पाचन को उत्तेजित करता है और दर्द का इलाज करने में भी मदद करता है।
It stimulates digestion and also helps to treat sore mouths.,यह पाचन को उत्तेजित करता है और गले में मुंह का इलाज करने में भी मदद करता है।
It.,यह।
helps.,मदद करता है।
in.,में।
the.,।
process.,प्रक्रिया।
of.,का।
purification.,शुद्धिकरण।
of.,का।
blood.,रक्त।
It.,यह।
It helps.,यह मदद करता है।
It helps in.,इसमें मदद करता है।
It helps in the.,इसमें मदद करता है।
It helps in the process.,यह प्रक्रिया में मदद करता है।
It helps in the process of.,यह प्रक्रिया में मदद करता है।
It helps in the process of purification.,यह शुद्धिकरण की प्रक्रिया में मदद करता है।
It helps in the process of purification of.,यह शुद्धि की प्रक्रिया में मदद करता है।
It helps in the process of purification of blood.,यह रक्त के शुद्धिकरण की प्रक्रिया में मदद करता है।
Used.,उपयोग किया गया।
to.,प्रति।
treat.,इलाज।
stomach.,पेट।
"pain,.","दर्द,।"
back.,पीछे।
"pain,.","दर्द,।"
"asthma,.","दमा,।"
diabetes.,मधुमेह।
and.,तथा।
kidney.,गुर्दा।
disease.,रोग।
Used.,उपयोग किया गया।
Used to.,अभ्यस्त।
Used to treat.,इलाज करते थे।
Used to treat stomach.,पेट का इलाज करने के लिए इस्तेमाल किया।
"Used to treat stomach pain,.",पेट दर्द का इलाज करने के लिए उपयोग किया जाता है।
"Used to treat stomach pain, back.","पेट दर्द, पीठ के इलाज के लिए इस्तेमाल किया।"
"Used to treat stomach pain, back pain,.","पेट दर्द, पीठ दर्द का इलाज करने के लिए उपयोग किया जाता है।"
"Used to treat stomach pain, back pain, asthma,.","पेट दर्द, पीठ दर्द, अस्थमा, इलाज के लिए उपयोग किया जाता है।"
"Used to treat stomach pain, back pain, asthma, diabetes.","पेट दर्द, पीठ दर्द, अस्थमा, मधुमेह के इलाज के लिए उपयोग किया जाता है।"
"Used to treat stomach pain, back pain, asthma, diabetes and.","पेट दर्द, पीठ दर्द, अस्थमा, मधुमेह और इलाज के लिए उपयोग किया जाता है।"
"Used to treat stomach pain, back pain, asthma, diabetes and kidney.","पेट दर्द, पीठ दर्द, अस्थमा, मधुमेह और गुर्दे का इलाज करने के लिए प्रयोग किया जाता है।"
"Used to treat stomach pain, back pain, asthma, diabetes and kidney disease.","पेट दर्द, पीठ दर्द, अस्थमा, मधुमेह और गुर्दे की बीमारी के इलाज के लिए उपयोग किया जाता है।"
It.,यह।
is.,है।
also.,भी।
used.,उपयोग किया गया।
to.,प्रति।
increase.,बढ़ोतरी।
appetite.,भूख।
It.,यह।
It is.,यह है।
It is also.,ये भी।
It is also used.,इसका भी उपयोग किया जाता है।
It is also used to.,इसका भी उपयोग किया जाता है।
It is also used to increase.,इसका उपयोग भी किया जाता है।
It is also used to increase appetite.,इसका उपयोग भूख बढ़ाने के लिए भी किया जाता है।
According.,अनुसार।
to.,प्रति।
Bhavprakash.,भवप्रकाश
"Nighantu,.","निघंतू,।"
alpinia.,अल्पीनिया।
galanga.,गैलांगा।
is.,है।
used.,उपयोग किया गया।
to.,प्रति।
pacify.,शांत करें।
kapha.,कफ।
dosha.,दोशा।
in.,में।
the.,।
body.,तन।
According.,अनुसार।
According to.,के अनुसार।
According to Bhavprakash.,भवप्रकाश के अनुसार।
"According to Bhavprakash Nighantu,.",भवप्रकाश निघंतू के अनुसार।
"According to Bhavprakash Nighantu, alpinia.","भवप्रकाश निघंतू, अल्पीनिया के अनुसार।"
"According to Bhavprakash Nighantu, alpinia galanga.","भवप्रकाश निघंतू, अल्पीनिया गैलंगा के अनुसार।"
"According to Bhavprakash Nighantu, alpinia galanga is.","भवप्रकाश निघंतू के अनुसार, अल्पाइनिया गैलंगा है।"
"According to Bhavprakash Nighantu, alpinia galanga is used.","भवप्रकाश निघंतू के अनुसार, अल्पाइनिया गैलंगा का उपयोग किया जाता है।"
"According to Bhavprakash Nighantu, alpinia galanga is used to.","भवप्रकाश निघंतू के अनुसार, अल्पाइनिया गैलंगा का उपयोग किया जाता है।"
"According to Bhavprakash Nighantu, alpinia galanga is used to pacify.","भवप्रकाश निघंतू के अनुसार, अल्पाइनिया गैलंगा का उपयोग शांत करने के लिए किया जाता है।"
"According to Bhavprakash Nighantu, alpinia galanga is used to pacify kapha.","भवप्रकाश निघंतू के अनुसार, अल्पाइनिया गैलंगा का उपयोग कफ को शांत करने के लिए किया जाता है।"
"According to Bhavprakash Nighantu, alpinia galanga is used to pacify kapha dosha.","भवप्रकाश निघंतू के अनुसार, अल्पीनिया गैलंगा का उपयोग कफ दोष को शांत करने के लिए किया जाता है।"
"According to Bhavprakash Nighantu, alpinia galanga is used to pacify kapha dosha in.","भवप्रकाश निघंतू के अनुसार, अल्पाइनिया गैलंगा का उपयोग कफ दोष को शांत करने के लिए किया जाता है।"
"According to Bhavprakash Nighantu, alpinia galanga is used to pacify kapha dosha in the.","भवप्रकाश निघंतू के अनुसार, अल्पीनिया गैलंगा का उपयोग कफ दोष को शांत करने के लिए किया जाता है।"
"According to Bhavprakash Nighantu, alpinia galanga is used to pacify kapha dosha in the body.","भवप्रकाश निघंतू के अनुसार, अल्पाइनिया गैलंगा का उपयोग शरीर में कफ दोष को शांत करने के लिए किया जाता है।"
It.,यह।
is.,है।
heavy.,अधिक वज़नदार।
in.,में।
"nature,.","प्रकृति,।"
bitter.,कड़वा।
in.,में।
taste.,स्वाद।
and.,तथा।
hot.,गरम।
in.,में।
potency.,शक्ति।
It.,यह।
It is.,यह है।
It is heavy.,यह भारी है।
It is heavy in.,यह भारी है।
"It is heavy in nature,.","यह प्रकृति में भारी है,।"
"It is heavy in nature, bitter.","यह प्रकृति में भारी है, कड़वा।"
"It is heavy in nature, bitter in.","यह प्रकृति में भारी है, कड़वा में।"
"It is heavy in nature, bitter in taste.","यह प्रकृति में भारी है, स्वाद में कड़वा।"
"It is heavy in nature, bitter in taste and.","यह प्रकृति में भारी है, स्वाद में कड़वा और।"
"It is heavy in nature, bitter in taste and hot.","यह प्रकृति में भारी है, स्वाद और गर्म में कड़वा।"
"It is heavy in nature, bitter in taste and hot in.","यह प्रकृति में भारी है, स्वाद में कड़वा और गर्म है।"
"It is heavy in nature, bitter in taste and hot in potency.","यह प्रकृति में भारी है, स्वाद में कड़वा और शक्ति में गर्म है।"
It.,यह।
helps.,मदद करता है।
to.,प्रति।
cure.,इलाज।
"inflammation,.","सूजन,।"
"pain,.","दर्द,।"
"gout,.","गठिया,"
cough.,खांसी।
and.,तथा।
poisoning.,जहर।
It.,यह।
It helps.,यह मदद करता है।
It helps to.,यह मदद करता है।
It helps to cure.,यह ठीक करने में मदद करता है।
"It helps to cure inflammation,.",यह सूजन का इलाज करने में मदद करता है।
"It helps to cure inflammation, pain,.","यह सूजन, दर्द का इलाज करने में मदद करता है।"
"It helps to cure inflammation, pain, gout,.","यह सूजन, दर्द, गठिया को ठीक करने में मदद करता है।"
"It helps to cure inflammation, pain, gout, cough.","यह सूजन, दर्द, गठिया, खांसी का इलाज करने में मदद करता है।"
"It helps to cure inflammation, pain, gout, cough and.","यह सूजन, दर्द, गठिया, खांसी और इलाज करने में मदद करता है।"
"It helps to cure inflammation, pain, gout, cough and poisoning.","यह सूजन, दर्द, गठिया, खांसी और विषाक्तता का इलाज करने में मदद करता है।"
This.,इस।
herb.,जड़ी बूटी।
is.,है।
used.,उपयोग किया गया।
to.,प्रति।
treat.,इलाज।
80,८०
types.,प्रकार।
of.,का।
vata.,वता।
disorders.,विकार।
This.,इस।
This herb.,यह जड़ी बूटी।
This herb is.,यह जड़ी बूटी है।
This herb is used.,इस जड़ी बूटी का उपयोग किया जाता है।
This herb is used to.,इस जड़ी बूटी का उपयोग किया जाता है।
This herb is used to treat.,इस जड़ी बूटी का इलाज करने के लिए उपयोग किया जाता है।
This herb is used to treat 80.,इस जड़ी बूटी का उपयोग ८० के इलाज के लिए किया जाता है।
This herb is used to treat 80 types.,इस जड़ी बूटी का उपयोग ८० प्रकार के इलाज के लिए किया जाता है।
This herb is used to treat 80 types of.,इस जड़ी बूटी का उपयोग ८० प्रकार के इलाज के लिए किया जाता है।
This herb is used to treat 80 types of vata.,इस जड़ी बूटी का उपयोग ८० प्रकार के वाटा के इलाज के लिए किया जाता है।
This herb is used to treat 80 types of vata disorders.,इस जड़ी बूटी का उपयोग ८० प्रकार के वाटा विकारों के इलाज के लिए किया जाता है।
It.,यह।
is.,है।
believed.,विश्वास किया।
to.,प्रति।
have.,पास होना।
originated.,उत्पन्न हुई।
in.,में।
Southeast.,दक्षिण पूर्व।
"Asia,.","एशिया,"
specifically.,विशेष रूप से।
in.,में।
Southern.,दक्षिणी।
China.,चीन।
It.,यह।
It is.,यह है।
It is believed.,माना जाता है।
It is believed to.,यह माना जाता है।
It is believed to have.,ऐसा माना जाता है।
It is believed to have originated.,माना जाता है कि यह उत्पन्न हुआ है।
It is believed to have originated in.,माना जाता है कि इसका जन्म हुआ है।
It is believed to have originated in Southeast.,माना जाता है कि यह दक्षिण पूर्व में पैदा हुआ है।
"It is believed to have originated in Southeast Asia,.",माना जाता है कि यह दक्षिण पूर्व एशिया में पैदा हुआ है।
"It is believed to have originated in Southeast Asia, specifically.",माना जाता है कि यह विशेष रूप से दक्षिणपूर्व एशिया में पैदा हुआ है।
"It is believed to have originated in Southeast Asia, specifically in.",माना जाता है कि यह विशेष रूप से दक्षिण पूर्व एशिया में पैदा हुआ है।
"It is believed to have originated in Southeast Asia, specifically in Southern.",माना जाता है कि यह दक्षिण पूर्व एशिया में विशेष रूप से दक्षिणी में हुआ था।
"It is believed to have originated in Southeast Asia, specifically in Southern China.",माना जाता है कि यह दक्षिणपूर्व एशिया में विशेष रूप से दक्षिणी चीन में हुआ है।
"Today,.","आज,।"
it.,यह।
is.,है।
cultivated.,खेती की।
in.,में।
"India,.","इंडिया,।"
"Arabia,.","अरब,"
"Thailand,.","थाईलैंड,।"
Indonesia.,इंडोनेशिया।
and.,तथा।
Sri.,श्री।
Lanka.,लंका।
"Today,.","आज,।"
"Today, it.",आज यह।
"Today, it is.",आज यह है।
"Today, it is cultivated.","आज, यह खेती की जाती है।"
"Today, it is cultivated in.","आज, इसमें खेती की जाती है।"
"Today, it is cultivated in India,.","आज, यह भारत में खेती की जाती है।"
"Today, it is cultivated in India, Arabia,.","आज, यह भारत, अरब में खेती की जाती है।"
"Today, it is cultivated in India, Arabia, Thailand,.","आज, यह भारत, अरब, थाईलैंड में खेती की जाती है।"
"Today, it is cultivated in India, Arabia, Thailand, Indonesia.","आज, यह भारत, अरब, थाईलैंड, इंडोनेशिया में खेती की जाती है।"
"Today, it is cultivated in India, Arabia, Thailand, Indonesia and.","आज, यह भारत, अरब, थाईलैंड, इंडोनेशिया में खेती की जाती है।"
"Today, it is cultivated in India, Arabia, Thailand, Indonesia and Sri.","आज, यह भारत, अरब, थाईलैंड, इंडोनेशिया और श्री में खेती की जाती है।"
"Today, it is cultivated in India, Arabia, Thailand, Indonesia and Sri Lanka.","आज, यह भारत, अरब, थाईलैंड, इंडोनेशिया और श्रीलंका में खेती की जाती है।"
It.,यह।
is.,है।
found.,मिल गया।
in.,में।
specialty.,विशेषता।
markets.,बाजार।
in.,में।
"Europe,.","यूरोप,"
Asia.,एशिया।
and.,तथा।
the.,।
United.,एकजुट।
States.,राज्य।
It.,यह।
It is.,यह है।
It is found.,यह मिल गया।
It is found in.,इसमें पाया जाता है।
It is found in specialty.,यह विशेषता में पाया जाता है।
It is found in specialty markets.,यह विशेषता बाजारों में पाया जाता है।
It is found in specialty markets in.,यह विशेषता बाजारों में पाया जाता है।
"It is found in specialty markets in Europe,.",यह यूरोप में विशेष बाजारों में पाया जाता है।
